user_id,step,timestamp,,,,,,,,,,,,,,,RECOMMENTATION NOTE,,,,,
U121,signup_started,20-07-2026 03:53,,Column1,UNIQUE USERS,CONVERSION RATE,DROP USERS,DROP-OFF PERCENTAGE,,,,,,,,,"The largest drop-off occurs at the Email Verification stage, indicating that users are abandoning the signup process due to added friction. Simplifying this step by introducing one-click verification, allowing temporary access before verification, and providing an easy resend option can improve the user experience. These changes are likely to increase user retention and improve the overall funnel conversion rate.",,,,,
U017,signup_started,20-07-2026 04:08,,,,,,,,,,,,,,,,,,,,
U159,details_filled,20-07-2026 04:26,,,,,,,,,,,,,,,,,,,,
U045,signup_started,20-07-2026 03:50,,,,,,,,,,,,,,,,,,,,
U042,signup_started,20-07-2026 04:24,,,,,,,,,,,,,,,,,,,,
U063,signup_started,20-07-2026 03:59,,,,,,,,,,,,,,,,,,,,
U112,purchase_completed,20-07-2026 04:36,,,,,,,,,,,,,,,,,,,,
U073,signup_started,20-07-2026 03:56,,,,,,,,,,,,,,,,,,,,
U075,signup_started,20-07-2026 03:52,,,,,,,,,,,,,,,,,,,,
U023,signup_started,20-07-2026 04:12,,,,,,,,,,,,,,,,,,,,
U077,signup_started,20-07-2026 04:04,,,,,,,,,,,,,,,,,,,,
U082,email_verified,20-07-2026 04:33,,,,,,,,,,,,,,,,,,,,
U140,purchase_completed,20-07-2026 04:42,,,,,,,,,,,,,,,,,,,,
U159,visited_site,20-07-2026 03:34,,,,,,,,,,,,,,,,,,,,
U060,signup_started,20-07-2026 03:59,,,,,,,,,,,,,,,,,,,,
U166,visited_site,20-07-2026 03:53,,,,,,,,,,,,,,,,,,,,
U070,email_verified,20-07-2026 04:21,,,,,,,,,,,,,,,,,,,,
U140,visited_site,20-07-2026 03:41,,,,,,,,,,,,,,,,,,,,
U167,visited_site,20-07-2026 04:08,,,,,,,,,,,,,,,,,,,,
U110,purchase_completed,20-07-2026 04:51,,,,,,,,,,,,,,,,,,,,
U093,signup_started,20-07-2026 04:10,,,,,,,,,,,,,,,,,,,,
U150,visited_site,20-07-2026 04:02,,,,,,,,,,,,,,,,,,,,
U016,signup_started,20-07-2026 04:04,,,,,,,,,,,,,,,,,,,,
U074,signup_started,20-07-2026 04:17,,,,,,,,,,,,,,,,,,,,
U097,signup_started,20-07-2026 04:02,,,,,,,,,,,,,,,,,,,,
U149,visited_site,20-07-2026 03:51,,,,,,,,,,,,,,,,,,,,
U142,signup_started,20-07-2026 03:59,,,,,,,,,,,,,,,,,,,,
U081,signup_started,20-07-2026 03:56,,,,,,,,,,,,,,,,,,,,
U152,details_filled,20-07-2026 04:11,,,,,,,,,,,,,,,,,,,,
U095,email_verified,20-07-2026 04:49,,,,,,,,,,,,,,,,,,,,
U055,visited_site,20-07-2026 03:34,,,,,,,,,,,,,,,,,,,,
U080,visited_site,20-07-2026 03:43,,,,,,,,,,,,,,,,,,,,
U107,visited_site,20-07-2026 03:53,,,,,,,,,,,,,,,,,,,,
U163,details_filled,20-07-2026 04:17,,,,,,,,,,,,,,,,,,,,
U150,signup_started,20-07-2026 04:08,,,,,,,,,,,,,,,,,,,,
U065,email_verified,20-07-2026 04:29,,,,,,,,,,,,,,,,,,,,
U044,details_filled,20-07-2026 04:24,,,,,,,,,,,,,,,,,,,,
U048,email_verified,20-07-2026 04:24,,,,,,,,,,,,,,,,,,,,
U042,visited_site,20-07-2026 04:09,,,,,,,,,,,,,,,,,,,,
U129,purchase_completed,20-07-2026 05:00,,,,,,,,,,,,,,,,,,,,
U072,visited_site,20-07-2026 03:59,,,,,,,,,,,,,,,,,,,,
U084,signup_started,20-07-2026 04:15,,,,,,,,,,,,,,,,,,,,
U029,visited_site,20-07-2026 03:38,,,,,,,,,,,,,,,,,,,,
U098,signup_started,20-07-2026 03:50,,,,,,,,,,,,,,,,,,,,
U006,signup_started,20-07-2026 04:13,,,,,,,,,,,,,,,,,,,,
U075,visited_site,20-07-2026 03:57,,,,,,,,,,,,,,,,,,,,
U022,details_filled,20-07-2026 04:18,,,,,,,,,,,,,,,,,,,,
U178,details_filled,20-07-2026 04:38,,,,,,,,,,,,,,,,,,,,
U096,signup_started,20-07-2026 04:24,,,,,,,,,,,,,,,,,,,,
U083,signup_started,20-07-2026 03:52,,,,,,,,,,,,,,,,,,,,
U193,details_filled,20-07-2026 04:30,,,,,,,,,,,,,,,,,,,,
U104,signup_started,20-07-2026 04:17,,,,,,,,,,,,,,,,,,,,
U161,details_filled,20-07-2026 04:38,,,,,,,,,,,,,,,,,,,,
U161,visited_site,20-07-2026 03:39,,,,,,,,,,,,,,,,,,,,
U047,visited_site,20-07-2026 03:57,,,,,,,,,,,,,,,,,,,,
U082,visited_site,20-07-2026 03:40,,,,,,,,,,,,,,,,,,,,
U095,visited_site,20-07-2026 03:46,,,,,,,,,,,,,,,,,,,,
U053,visited_site,20-07-2026 03:55,,,,,,,,,,,,,,,,,,,,
U076,signup_started,20-07-2026 04:16,,,,,,,,,,,,,,,,,,,,
U119,purchase_completed,20-07-2026 04:54,,,,,,,,,,,,,,,,,,,,
U090,email_verified,20-07-2026 04:50,,,,,,,,,,,,,,,,,,,,
U054,email_verified,20-07-2026 04:22,,,,,,,,,,,,,,,,,,,,
U067,visited_site,20-07-2026 03:31,,,,,,,,,,,,,,,,,,,,
U052,visited_site,20-07-2026 03:52,,,,,,,,,,,,,,,,,,,,
U008,details_filled,20-07-2026 04:18,,,,,,,,,,,,,,,,,,,,
U043,visited_site,20-07-2026 03:37,,,,,,,,,,,,,,,,,,,,
U008,signup_started,20-07-2026 04:17,,,,,,,,,,,,,,,,,,,,
U169,visited_site,20-07-2026 04:05,,,,,,,,,,,,,,,,,,,,
U005,details_filled,20-07-2026 04:09,,,,,,,,,,,,,,,,,,,,
U093,email_verified,20-07-2026 04:42,,,,,,,,,,,,,,,,,,,,
U088,email_verified,20-07-2026 04:19,,,,,,,,,,,,,,,,,,,,
U157,details_filled,20-07-2026 04:36,,,,,,,,,,,,,,,,,,,,
U059,email_verified,20-07-2026 04:20,,,,,,,,,,,,,,,,,,,,
U009,details_filled,20-07-2026 04:23,,,,,,,,,,,,,,,,,,,,
U132,signup_started,20-07-2026 04:15,,,,,,,,,,,,,,,,,,,,
U128,purchase_completed,20-07-2026 04:30,,,,,,,,,,,,,,,,,,,,
U079,signup_started,20-07-2026 03:57,,,,,,,,,,,,,,,,,,,,
U026,visited_site,20-07-2026 03:52,,,,,,,,,,,,,,,,,,,,
U015,visited_site,20-07-2026 03:57,,,,,,,,,,,,,,,,,,,,
U114,purchase_completed,20-07-2026 04:39,,,,,,,,,,,,,,,,,,,,
U050,signup_started,20-07-2026 03:48,,,,,,,,,,,,,,,,,,,,
U156,details_filled,20-07-2026 04:13,,,,,,,,,,,,,,,,,,,,
U155,visited_site,20-07-2026 03:58,,,,,,,,,,,,,,,,,,,,
U075,email_verified,20-07-2026 04:42,,,,,,,,,,,,,,,,,,,,
U141,signup_started,20-07-2026 03:49,,,,,,,,,,,,,,,,,,,,
U017,details_filled,20-07-2026 04:03,,,,,,,,,,,,,,,,,,,,
U134,signup_started,20-07-2026 04:08,,,,,,,,,,,,,,,,,,,,
U024,signup_started,20-07-2026 04:06,,,,,,,,,,,,,,,,,,,,
U164,visited_site,20-07-2026 04:06,,,,,,,,,,,,,,,,,,,,
U191,visited_site,20-07-2026 03:44,,,,,,,,,,,,,,,,,,,,
U078,signup_started,20-07-2026 03:58,,,,,,,,,,,,,,,,,,,,
U027,details_filled,20-07-2026 04:20,,,,,,,,,,,,,,,,,,,,
U168,details_filled,20-07-2026 04:26,,,,,,,,,,,,,,,,,,,,
U144,signup_started,20-07-2026 04:05,,,,,,,,,,,,,,,,,,,,
U172,visited_site,20-07-2026 03:57,,,,,,,,,,,,,,,,,,,,
U003,visited_site,20-07-2026 03:39,,,,,,,,,,,,,,,,,,,,
U116,visited_site,20-07-2026 03:30,,,,,,,,,,,,,,,,,,,,
U053,email_verified,20-07-2026 04:31,,,,,,,,,,,,,,,,,,,,
U127,signup_started,20-07-2026 03:46,,,,,,,,,,,,,,,,,,,,
U101,visited_site,20-07-2026 03:46,,,,,,,,,,,,,,,,,,,,
U119,visited_site,20-07-2026 03:46,,,,,,,,,,,,,,,,,,,,
U085,email_verified,20-07-2026 04:19,,,,,,,,,,,,,,,,,,,,
U112,signup_started,20-07-2026 04:06,,,,,,,,,,,,,,,,,,,,
U099,visited_site,20-07-2026 03:41,,,,,,,,,,,,,,,,,,,,
U091,visited_site,20-07-2026 04:08,,,,,,,,,,,,,,,,,,,,
U071,signup_started,20-07-2026 03:45,,,,,,,,,,,,,,,,,,,,
U005,signup_started,20-07-2026 03:52,,,,,,,,,,,,,,,,,,,,
U084,visited_site,20-07-2026 04:05,,,,,,,,,,,,,,,,,,,,
U050,email_verified,20-07-2026 04:37,,,,,,,,,,,,,,,,,,,,
U117,visited_site,20-07-2026 03:41,,,,,,,,,,,,,,,,,,,,
U118,purchase_completed,20-07-2026 04:39,,,,,,,,,,,,,,,,,,,,
U144,visited_site,20-07-2026 03:40,,,,,,,,,,,,,,,,,,,,
U100,visited_site,20-07-2026 03:32,,,,,,,,,,,,,,,,,,,,
U061,signup_started,20-07-2026 04:14,,,,,,,,,,,,,,,,,,,,
U168,visited_site,20-07-2026 03:59,,,,,,,,,,,,,,,,,,,,
U086,visited_site,20-07-2026 03:48,,,,,,,,,,,,,,,,,,,,
U006,visited_site,20-07-2026 03:30,,,,,,,,,,,,,,,,,,,,
U081,visited_site,20-07-2026 03:36,,,,,,,,,,,,,,,,,,,,
U155,details_filled,20-07-2026 04:16,,,,,,,,,,,,,,,,,,,,
U192,details_filled,20-07-2026 04:02,,,,,,,,,,,,,,,,,,,,
U199,visited_site,20-07-2026 03:54,,,,,,,,,,,,,,,,,,,,
U011,signup_started,20-07-2026 04:11,,,,,,,,,,,,,,,,,,,,
U176,details_filled,20-07-2026 04:23,,,,,,,,,,,,,,,,,,,,
U090,visited_site,20-07-2026 03:48,,,,,,,,,,,,,,,,,,,,
U096,email_verified,20-07-2026 04:48,,,,,,,,,,,,,,,,,,,,
U048,visited_site,20-07-2026 03:31,,,,,,,,,,,,,,,,,,,,
U102,purchase_completed,20-07-2026 05:09,,,,,,,,,,,,,,,,,,,,
U062,visited_site,20-07-2026 03:43,,,,,,,,,,,,,,,,,,,,
U068,visited_site,20-07-2026 04:02,,,,,,,,,,,,,,,,,,,,
U190,visited_site,20-07-2026 03:36,,,,,,,,,,,,,,,,,,,,
U069,email_verified,20-07-2026 04:26,,,,,,,,,,,,,,,,,,,,
U187,visited_site,20-07-2026 03:35,,,,,,,,,,,,,,,,,,,,
U109,visited_site,20-07-2026 03:47,,,,,,,,,,,,,,,,,,,,
U135,signup_started,20-07-2026 03:54,,,,,,,,,,,,,,,,,,,,
U123,visited_site,20-07-2026 03:52,,,,,,,,,,,,,,,,,,,,
U066,email_verified,20-07-2026 04:36,,,,,,,,,,,,,,,,,,,,
U194,details_filled,20-07-2026 04:08,,,,,,,,,,,,,,,,,,,,
U129,signup_started,20-07-2026 04:10,,,,,,,,,,,,,,,,,,,,
U171,visited_site,20-07-2026 03:31,,,,,,,,,,,,,,,,,,,,
U136,visited_site,20-07-2026 03:31,,,,,,,,,,,,,,,,,,,,
U081,email_verified,20-07-2026 04:49,,,,,,,,,,,,,,,,,,,,
U041,visited_site,20-07-2026 04:01,,,,,,,,,,,,,,,,,,,,
U067,signup_started,20-07-2026 04:03,,,,,,,,,,,,,,,,,,,,
U133,signup_started,20-07-2026 04:19,,,,,,,,,,,,,,,,,,,,
U069,signup_started,20-07-2026 03:53,,,,,,,,,,,,,,,,,,,,
U038,details_filled,20-07-2026 04:03,,,,,,,,,,,,,,,,,,,,
U091,signup_started,20-07-2026 03:49,,,,,,,,,,,,,,,,,,,,
U180,details_filled,20-07-2026 04:11,,,,,,,,,,,,,,,,,,,,
U013,signup_started,20-07-2026 04:12,,,,,,,,,,,,,,,,,,,,
U076,email_verified,20-07-2026 04:16,,,,,,,,,,,,,,,,,,,,
U200,visited_site,20-07-2026 03:39,,,,,,,,,,,,,,,,,,,,
U100,signup_started,20-07-2026 04:02,,,,,,,,,,,,,,,,,,,,
U198,details_filled,20-07-2026 04:05,,,,,,,,,,,,,,,,,,,,
U087,email_verified,20-07-2026 04:18,,,,,,,,,,,,,,,,,,,,
U147,visited_site,20-07-2026 03:52,,,,,,,,,,,,,,,,,,,,
U130,purchase_completed,20-07-2026 04:53,,,,,,,,,,,,,,,,,,,,
U087,visited_site,20-07-2026 03:40,,,,,,,,,,,,,,,,,,,,
U157,visited_site,20-07-2026 03:57,,,,,,,,,,,,,,,,,,,,
U092,signup_started,20-07-2026 03:54,,,,,,,,,,,,,,,,,,,,
U128,visited_site,20-07-2026 04:06,,,,,,,,,,,,,,,,,,,,
U029,signup_started,20-07-2026 04:24,,,,,,,,,,,,,,,,,,,,
U014,details_filled,20-07-2026 04:02,,,,,,,,,,,,,,,,,,,,
U021,visited_site,20-07-2026 04:04,,,,,,,,,,,,,,,,,,,,
U040,visited_site,20-07-2026 03:58,,,,,,,,,,,,,,,,,,,,
U173,visited_site,20-07-2026 03:57,,,,,,,,,,,,,,,,,,,,
U192,visited_site,20-07-2026 03:52,,,,,,,,,,,,,,,,,,,,
U021,details_filled,20-07-2026 04:20,,,,,,,,,,,,,,,,,,,,
U057,visited_site,20-07-2026 03:32,,,,,,,,,,,,,,,,,,,,
U027,signup_started,20-07-2026 04:14,,,,,,,,,,,,,,,,,,,,
U018,details_filled,20-07-2026 04:36,,,,,,,,,,,,,,,,,,,,
U111,purchase_completed,20-07-2026 04:34,,,,,,,,,,,,,,,,,,,,
U076,visited_site,20-07-2026 03:30,,,,,,,,,,,,,,,,,,,,
U098,visited_site,20-07-2026 03:53,,,,,,,,,,,,,,,,,,,,
U051,email_verified,20-07-2026 04:43,,,,,,,,,,,,,,,,,,,,
U197,details_filled,20-07-2026 04:12,,,,,,,,,,,,,,,,,,,,
U011,visited_site,20-07-2026 03:31,,,,,,,,,,,,,,,,,,,,
U154,details_filled,20-07-2026 04:34,,,,,,,,,,,,,,,,,,,,
U172,details_filled,20-07-2026 04:06,,,,,,,,,,,,,,,,,,,,
U143,signup_started,20-07-2026 04:07,,,,,,,,,,,,,,,,,,,,
U122,signup_started,20-07-2026 04:13,,,,,,,,,,,,,,,,,,,,
U069,visited_site,20-07-2026 03:33,,,,,,,,,,,,,,,,,,,,
U027,visited_site,20-07-2026 03:32,,,,,,,,,,,,,,,,,,,,
U106,visited_site,20-07-2026 03:56,,,,,,,,,,,,,,,,,,,,
U122,purchase_completed,20-07-2026 04:46,,,,,,,,,,,,,,,,,,,,
U021,signup_started,20-07-2026 03:45,,,,,,,,,,,,,,,,,,,,
U111,signup_started,20-07-2026 04:02,,,,,,,,,,,,,,,,,,,,
U073,email_verified,20-07-2026 04:54,,,,,,,,,,,,,,,,,,,,
U091,email_verified,20-07-2026 04:46,,,,,,,,,,,,,,,,,,,,
U002,details_filled,20-07-2026 04:17,,,,,,,,,,,,,,,,,,,,
U162,visited_site,20-07-2026 03:39,,,,,,,,,,,,,,,,,,,,
U020,visited_site,20-07-2026 04:01,,,,,,,,,,,,,,,,,,,,
U004,signup_started,20-07-2026 04:12,,,,,,,,,,,,,,,,,,,,
U020,details_filled,20-07-2026 04:03,,,,,,,,,,,,,,,,,,,,
U142,visited_site,20-07-2026 04:09,,,,,,,,,,,,,,,,,,,,
U046,signup_started,20-07-2026 03:59,,,,,,,,,,,,,,,,,,,,
U177,visited_site,20-07-2026 03:56,,,,,,,,,,,,,,,,,,,,
U151,visited_site,20-07-2026 03:37,,,,,,,,,,,,,,,,,,,,
U049,visited_site,20-07-2026 03:33,,,,,,,,,,,,,,,,,,,,
U174,visited_site,20-07-2026 03:55,,,,,,,,,,,,,,,,,,,,
U136,signup_started,20-07-2026 04:09,,,,,,,,,,,,,,,,,,,,
U131,visited_site,20-07-2026 03:49,,,,,,,,,,,,,,,,,,,,
U154,visited_site,20-07-2026 03:52,,,,,,,,,,,,,,,,,,,,
U101,purchase_completed,20-07-2026 04:36,,,,,,,,,,,,,,,,,,,,
U030,details_filled,20-07-2026 04:00,,,,,,,,,,,,,,,,,,,,
U160,details_filled,20-07-2026 04:15,,,,,,,,,,,,,,,,,,,,
U058,visited_site,20-07-2026 03:34,,,,,,,,,,,,,,,,,,,,
U013,visited_site,20-07-2026 04:04,,,,,,,,,,,,,,,,,,,,
U115,visited_site,20-07-2026 04:03,,,,,,,,,,,,,,,,,,,,
U043,details_filled,20-07-2026 04:33,,,,,,,,,,,,,,,,,,,,
U014,signup_started,20-07-2026 03:46,,,,,,,,,,,,,,,,,,,,
U068,signup_started,20-07-2026 04:21,,,,,,,,,,,,,,,,,,,,
U170,visited_site,20-07-2026 03:42,,,,,,,,,,,,,,,,,,,,
U061,email_verified,20-07-2026 04:28,,,,,,,,,,,,,,,,,,,,
U083,visited_site,20-07-2026 03:33,,,,,,,,,,,,,,,,,,,,
U141,purchase_completed,20-07-2026 04:31,,,,,,,,,,,,,,,,,,,,
U116,signup_started,20-07-2026 04:12,,,,,,,,,,,,,,,,,,,,
U074,email_verified,20-07-2026 04:43,,,,,,,,,,,,,,,,,,,,
U062,email_verified,20-07-2026 04:52,,,,,,,,,,,,,,,,,,,,
U114,signup_started,20-07-2026 04:00,,,,,,,,,,,,,,,,,,,,
U102,signup_started,20-07-2026 04:13,,,,,,,,,,,,,,,,,,,,
U028,visited_site,20-07-2026 03:37,,,,,,,,,,,,,,,,,,,,
U179,details_filled,20-07-2026 04:00,,,,,,,,,,,,,,,,,,,,
U065,visited_site,20-07-2026 03:32,,,,,,,,,,,,,,,,,,,,
U047,signup_started,20-07-2026 04:06,,,,,,,,,,,,,,,,,,,,
U013,details_filled,20-07-2026 04:00,,,,,,,,,,,,,,,,,,,,
U078,email_verified,20-07-2026 04:44,,,,,,,,,,,,,,,,,,,,
U035,signup_started,20-07-2026 04:09,,,,,,,,,,,,,,,,,,,,
U066,visited_site,20-07-2026 03:54,,,,,,,,,,,,,,,,,,,,
U047,email_verified,20-07-2026 04:19,,,,,,,,,,,,,,,,,,,,
U113,purchase_completed,20-07-2026 04:37,,,,,,,,,,,,,,,,,,,,
U030,signup_started,20-07-2026 03:59,,,,,,,,,,,,,,,,,,,,
U137,signup_started,20-07-2026 04:00,,,,,,,,,,,,,,,,,,,,
U033,visited_site,20-07-2026 04:03,,,,,,,,,,,,,,,,,,,,
U096,visited_site,20-07-2026 03:43,,,,,,,,,,,,,,,,,,,,
U006,details_filled,20-07-2026 04:04,,,,,,,,,,,,,,,,,,,,
U046,details_filled,20-07-2026 04:17,,,,,,,,,,,,,,,,,,,,
U080,email_verified,20-07-2026 04:15,,,,,,,,,,,,,,,,,,,,
U089,signup_started,20-07-2026 03:56,,,,,,,,,,,,,,,,,,,,
U038,signup_started,20-07-2026 04:12,,,,,,,,,,,,,,,,,,,,
U077,visited_site,20-07-2026 04:08,,,,,,,,,,,,,,,,,,,,
U124,visited_site,20-07-2026 03:58,,,,,,,,,,,,,,,,,,,,
U032,visited_site,20-07-2026 03:40,,,,,,,,,,,,,,,,,,,,
U181,visited_site,20-07-2026 03:54,,,,,,,,,,,,,,,,,,,,
U071,visited_site,20-07-2026 03:33,,,,,,,,,,,,,,,,,,,,
U085,visited_site,20-07-2026 03:39,,,,,,,,,,,,,,,,,,,,
U183,visited_site,20-07-2026 03:52,,,,,,,,,,,,,,,,,,,,
U073,visited_site,20-07-2026 03:33,,,,,,,,,,,,,,,,,,,,
U002,visited_site,20-07-2026 04:03,,,,,,,,,,,,,,,,,,,,
U054,visited_site,20-07-2026 04:00,,,,,,,,,,,,,,,,,,,,
U024,visited_site,20-07-2026 04:08,,,,,,,,,,,,,,,,,,,,
U044,visited_site,20-07-2026 04:08,,,,,,,,,,,,,,,,,,,,
U132,visited_site,20-07-2026 03:40,,,,,,,,,,,,,,,,,,,,
U040,signup_started,20-07-2026 04:13,,,,,,,,,,,,,,,,,,,,
U197,visited_site,20-07-2026 03:42,,,,,,,,,,,,,,,,,,,,
U052,signup_started,20-07-2026 04:09,,,,,,,,,,,,,,,,,,,,
U017,visited_site,20-07-2026 03:46,,,,,,,,,,,,,,,,,,,,
U078,visited_site,20-07-2026 03:51,,,,,,,,,,,,,,,,,,,,
U163,visited_site,20-07-2026 03:56,,,,,,,,,,,,,,,,,,,,
U138,visited_site,20-07-2026 03:31,,,,,,,,,,,,,,,,,,,,
U092,visited_site,20-07-2026 03:42,,,,,,,,,,,,,,,,,,,,
U041,signup_started,20-07-2026 03:55,,,,,,,,,,,,,,,,,,,,
U132,purchase_completed,20-07-2026 04:58,,,,,,,,,,,,,,,,,,,,
U128,signup_started,20-07-2026 04:03,,,,,,,,,,,,,,,,,,,,
U123,signup_started,20-07-2026 03:45,,,,,,,,,,,,,,,,,,,,
U181,details_filled,20-07-2026 04:06,,,,,,,,,,,,,,,,,,,,
U173,details_filled,20-07-2026 04:17,,,,,,,,,,,,,,,,,,,,
U139,signup_started,20-07-2026 04:02,,,,,,,,,,,,,,,,,,,,
U186,details_filled,20-07-2026 04:39,,,,,,,,,,,,,,,,,,,,
U153,details_filled,20-07-2026 04:18,,,,,,,,,,,,,,,,,,,,
U104,purchase_completed,20-07-2026 04:51,,,,,,,,,,,,,,,,,,,,
U115,purchase_completed,20-07-2026 04:30,,,,,,,,,,,,,,,,,,,,
U121,visited_site,20-07-2026 03:36,,,,,,,,,,,,,,,,,,,,
U099,signup_started,20-07-2026 04:18,,,,,,,,,,,,,,,,,,,,
U113,signup_started,20-07-2026 04:07,,,,,,,,,,,,,,,,,,,,
U024,details_filled,20-07-2026 04:24,,,,,,,,,,,,,,,,,,,,
U080,signup_started,20-07-2026 04:03,,,,,,,,,,,,,,,,,,,,
U089,email_verified,20-07-2026 04:42,,,,,,,,,,,,,,,,,,,,
U174,details_filled,20-07-2026 04:04,,,,,,,,,,,,,,,,,,,,
U178,visited_site,20-07-2026 03:34,,,,,,,,,,,,,,,,,,,,
U166,details_filled,20-07-2026 04:03,,,,,,,,,,,,,,,,,,,,
U175,details_filled,20-07-2026 04:37,,,,,,,,,,,,,,,,,,,,
U088,visited_site,20-07-2026 03:47,,,,,,,,,,,,,,,,,,,,
U074,visited_site,20-07-2026 04:01,,,,,,,,,,,,,,,,,,,,
U052,email_verified,20-07-2026 04:24,,,,,,,,,,,,,,,,,,,,
U053,signup_started,20-07-2026 04:05,,,,,,,,,,,,,,,,,,,,
U108,signup_started,20-07-2026 04:13,,,,,,,,,,,,,,,,,,,,
U167,details_filled,20-07-2026 04:22,,,,,,,,,,,,,,,,,,,,
U057,signup_started,20-07-2026 03:59,,,,,,,,,,,,,,,,,,,,
U120,visited_site,20-07-2026 03:57,,,,,,,,,,,,,,,,,,,,
U107,signup_started,20-07-2026 03:57,,,,,,,,,,,,,,,,,,,,
U010,details_filled,20-07-2026 04:31,,,,,,,,,,,,,,,,,,,,
U039,signup_started,20-07-2026 03:57,,,,,,,,,,,,,,,,,,,,
U106,signup_started,20-07-2026 04:09,,,,,,,,,,,,,,,,,,,,
U118,visited_site,20-07-2026 03:45,,,,,,,,,,,,,,,,,,,,
U120,purchase_completed,20-07-2026 05:04,,,,,,,,,,,,,,,,,,,,
U116,purchase_completed,20-07-2026 04:45,,,,,,,,,,,,,,,,,,,,
U048,signup_started,20-07-2026 03:49,,,,,,,,,,,,,,,,,,,,
U058,signup_started,20-07-2026 03:46,,,,,,,,,,,,,,,,,,,,
U005,visited_site,20-07-2026 03:34,,,,,,,,,,,,,,,,,,,,
U145,visited_site,20-07-2026 03:33,,,,,,,,,,,,,,,,,,,,
U062,signup_started,20-07-2026 04:22,,,,,,,,,,,,,,,,,,,,
U059,signup_started,20-07-2026 03:48,,,,,,,,,,,,,,,,,,,,
U029,details_filled,20-07-2026 04:24,,,,,,,,,,,,,,,,,,,,
U060,visited_site,20-07-2026 03:43,,,,,,,,,,,,,,,,,,,,
U034,signup_started,20-07-2026 03:58,,,,,,,,,,,,,,,,,,,,
U015,signup_started,20-07-2026 04:02,,,,,,,,,,,,,,,,,,,,
U064,email_verified,20-07-2026 04:25,,,,,,,,,,,,,,,,,,,,
U152,visited_site,20-07-2026 03:59,,,,,,,,,,,,,,,,,,,,
U127,purchase_completed,20-07-2026 04:49,,,,,,,,,,,,,,,,,,,,
U103,signup_started,20-07-2026 04:14,,,,,,,,,,,,,,,,,,,,
U101,signup_started,20-07-2026 04:11,,,,,,,,,,,,,,,,,,,,
U070,visited_site,20-07-2026 04:06,,,,,,,,,,,,,,,,,,,,
U118,signup_started,20-07-2026 03:48,,,,,,,,,,,,,,,,,,,,
U195,details_filled,20-07-2026 04:00,,,,,,,,,,,,,,,,,,,,
U054,signup_started,20-07-2026 03:59,,,,,,,,,,,,,,,,,,,,
U170,details_filled,20-07-2026 04:03,,,,,,,,,,,,,,,,,,,,
U030,visited_site,20-07-2026 04:05,,,,,,,,,,,,,,,,,,,,
U071,email_verified,20-07-2026 04:31,,,,,,,,,,,,,,,,,,,,
U016,visited_site,20-07-2026 03:41,,,,,,,,,,,,,,,,,,,,
U031,visited_site,20-07-2026 03:53,,,,,,,,,,,,,,,,,,,,
U009,visited_site,20-07-2026 03:40,,,,,,,,,,,,,,,,,,,,
